scenarioId,flow,variant,voiceId,gapMs,cueKeys,durationSource,measuredDurationMs,estimatedDurationMs,totalMs,targetMs,hardMaxMs,passesTarget,passesHardMax,notes
mpv2_balance_transition,movement_checkup,balance,marcus,100,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10589,0,10789,12000,20000,true,true,All cues measured from disk after generation.
mpv2_balance_transition,movement_checkup,balance,clara,250,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10216,0,10716,12000,20000,true,true,All cues measured from disk after generation.
mpv2_balance_transition,movement_checkup,balance,marcus,0,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10589,0,10589,12000,20000,true,true,All cues measured from disk after generation.
micro_chair_setup_countdown,micro_check,chair_power,clara,0,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,10542,0,10542,12000,20000,true,true,All cues measured from disk after generation.
mpv2_balance_transition,movement_checkup,balance,clara,100,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10216,0,10416,12000,20000,true,true,All cues measured from disk after generation.
training_first_use_ordinary,training,first_use,marcus,0,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,10216,0,10216,14000,24000,true,true,All cues measured from disk after generation.
training_repeat_instructions,training,repeat_instructions,marcus,0,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,10216,0,10216,14000,24000,true,true,All cues measured from disk after generation.
mpv2_balance_transition,movement_checkup,balance,clara,0,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10216,0,10216,12000,20000,true,true,All cues measured from disk after generation.
training_controls_recovery,training,controls_recovery,clara,250,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,measured_current_mp3,8592,0,9592,9000,18000,false,true,All cues measured from disk after generation.
balance_v2_stage_setup,balance_v2,stage_setup,clara,250,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,7987,0,9237,12000,22000,true,true,All cues measured from disk after generation.
training_controls_recovery,training,controls_recovery,clara,100,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,measured_current_mp3,8592,0,8992,9000,18000,true,true,All cues measured from disk after generation.
training_controls_recovery,training,controls_recovery,marcus,250,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,measured_current_mp3,7848,0,8848,9000,18000,true,true,All cues measured from disk after generation.
training_controls_recovery,training,controls_recovery,clara,0,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,measured_current_mp3,8592,0,8592,9000,18000,true,true,All cues measured from disk after generation.
balance_v2_stage_setup,balance_v2,stage_setup,marcus,250,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,7244,0,8494,12000,22000,true,true,All cues measured from disk after generation.
balance_v2_stage_setup,balance_v2,stage_setup,clara,100,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,7987,0,8487,12000,22000,true,true,All cues measured from disk after generation.
training_controls_recovery,training,controls_recovery,marcus,100,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,measured_current_mp3,7848,0,8248,9000,18000,true,true,All cues measured from disk after generation.
micro_mobility_completion,micro_check,mobility,clara,250,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,measured_current_mp3,7663,0,8163,10000,18000,true,true,All cues measured from disk after generation.
balance_v2_stage_setup,balance_v2,stage_setup,clara,0,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,7987,0,7987,12000,22000,true,true,All cues measured from disk after generation.
micro_mobility_completion,micro_check,mobility,clara,100,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,measured_current_mp3,7663,0,7863,10000,18000,true,true,All cues measured from disk after generation.
training_controls_recovery,training,controls_recovery,marcus,0,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,measured_current_mp3,7848,0,7848,9000,18000,true,true,All cues measured from disk after generation.
balance_v2_stage_setup,balance_v2,stage_setup,marcus,100,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,7244,0,7744,12000,22000,true,true,All cues measured from disk after generation.
micro_mobility_completion,micro_check,mobility,clara,0,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,measured_current_mp3,7663,0,7663,10000,18000,true,true,All cues measured from disk after generation.
micro_mobility_completion,micro_check,mobility,marcus,250,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,measured_current_mp3,6920,0,7420,10000,18000,true,true,All cues measured from disk after generation.
balance_v2_stage_setup,balance_v2,stage_setup,marcus,0,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,7244,0,7244,12000,22000,true,true,All cues measured from disk after generation.
micro_mobility_completion,micro_check,mobility,marcus,100,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,measured_current_mp3,6920,0,7120,10000,18000,true,true,All cues measured from disk after generation.
micro_mobility_completion,micro_check,mobility,marcus,0,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,measured_current_mp3,6920,0,6920,10000,18000,true,true,All cues measured from disk after generation.
shared_countdown_go,shared,countdown,clara,250,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2925,0,3675,5000,9000,true,true,All cues measured from disk after generation.
shared_countdown_go,shared,countdown,marcus,250,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2693,0,3443,5000,9000,true,true,All cues measured from disk after generation.
training_later_set_reminder,training,later_set,clara,250,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,measured_current_mp3,3019,0,3269,8000,16000,true,true,All cues measured from disk after generation.
shared_countdown_go,shared,countdown,clara,100,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2925,0,3225,5000,9000,true,true,All cues measured from disk after generation.
training_later_set_reminder,training,later_set,clara,100,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,measured_current_mp3,3019,0,3119,8000,16000,true,true,All cues measured from disk after generation.
training_later_set_reminder,training,later_set,marcus,250,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,measured_current_mp3,2833,0,3083,8000,16000,true,true,All cues measured from disk after generation.
training_later_set_reminder,training,later_set,clara,0,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,measured_current_mp3,3019,0,3019,8000,16000,true,true,All cues measured from disk after generation.
shared_countdown_go,shared,countdown,marcus,100,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2693,0,2993,5000,9000,true,true,All cues measured from disk after generation.
training_later_set_reminder,training,later_set,marcus,100,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,measured_current_mp3,2833,0,2933,8000,16000,true,true,All cues measured from disk after generation.
shared_countdown_go,shared,countdown,clara,0,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2925,0,2925,5000,9000,true,true,All cues measured from disk after generation.
training_later_set_reminder,training,later_set,marcus,0,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,measured_current_mp3,2833,0,2833,8000,16000,true,true,All cues measured from disk after generation.
shared_countdown_go,shared,countdown,marcus,0,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2693,0,2693,5000,9000,true,true,All cues measured from disk after generation.
