scenarioId,flow,variant,voiceId,gapMs,cueKeys,durationSource,measuredDurationMs,estimatedDurationMs,totalMs,targetMs,hardMaxMs,passesTarget,passesHardMax,notes
training_controls_recovery,training,controls_recovery,clara,100,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,mixed_measured_and_estimated_current_schema,6595,1420,8415,9000,18000,true,true,Pending or mismatched cues use word-count estimates.
training_controls_recovery,training,controls_recovery,clara,250,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,mixed_measured_and_estimated_current_schema,6595,1420,9015,9000,18000,false,true,Pending or mismatched cues use word-count estimates.
training_controls_recovery,training,controls_recovery,marcus,0,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,mixed_measured_and_estimated_current_schema,6316,1420,7736,9000,18000,true,true,Pending or mismatched cues use word-count estimates.
training_controls_recovery,training,controls_recovery,marcus,100,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,mixed_measured_and_estimated_current_schema,6316,1420,8136,9000,18000,true,true,Pending or mismatched cues use word-count estimates.
training_controls_recovery,training,controls_recovery,marcus,250,paused-v21;resuming-v21;retry-v21;tracking-loss-v21;tracking-recovered-v21,mixed_measured_and_estimated_current_schema,6316,1420,8736,9000,18000,true,true,Pending or mismatched cues use word-count estimates.
micro_chair_setup_countdown,micro_check,chair_power,clara,0,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,4040,6110,10150,12000,20000,true,true,Pending or mismatched cues use word-count estimates.
micro_chair_setup_countdown,micro_check,chair_power,clara,100,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,4040,6110,10650,12000,20000,true,true,Pending or mismatched cues use word-count estimates.
micro_chair_setup_countdown,micro_check,chair_power,clara,250,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,4040,6110,11400,12000,20000,true,true,Pending or mismatched cues use word-count estimates.
micro_chair_setup_countdown,micro_check,chair_power,marcus,0,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,3668,6110,9778,12000,20000,true,true,Pending or mismatched cues use word-count estimates.
micro_chair_setup_countdown,micro_check,chair_power,marcus,100,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,3668,6110,10278,12000,20000,true,true,Pending or mismatched cues use word-count estimates.
micro_chair_setup_countdown,micro_check,chair_power,marcus,250,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,3668,6110,11028,12000,20000,true,true,Pending or mismatched cues use word-count estimates.
micro_mobility_completion,micro_check,mobility,clara,0,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,mixed_measured_and_estimated_current_schema,0,7170,7170,10000,18000,true,true,Pending or mismatched cues use word-count estimates.
micro_mobility_completion,micro_check,mobility,clara,100,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,mixed_measured_and_estimated_current_schema,0,7170,7370,10000,18000,true,true,Pending or mismatched cues use word-count estimates.
micro_mobility_completion,micro_check,mobility,clara,250,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,mixed_measured_and_estimated_current_schema,0,7170,7670,10000,18000,true,true,Pending or mismatched cues use word-count estimates.
micro_mobility_completion,micro_check,mobility,marcus,0,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,mixed_measured_and_estimated_current_schema,0,7170,7170,10000,18000,true,true,Pending or mismatched cues use word-count estimates.
micro_mobility_completion,micro_check,mobility,marcus,100,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,mixed_measured_and_estimated_current_schema,0,7170,7370,10000,18000,true,true,Pending or mismatched cues use word-count estimates.
micro_mobility_completion,micro_check,mobility,marcus,250,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,mixed_measured_and_estimated_current_schema,0,7170,7670,10000,18000,true,true,Pending or mismatched cues use word-count estimates.
mpv2_initial_chair,movement_checkup,chair,clara,0,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15604,0,15604,16000,26000,true,true,All cues measured from disk.
mpv2_initial_chair,movement_checkup,chair,clara,100,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15604,0,15804,16000,26000,true,true,All cues measured from disk.
mpv2_initial_chair,movement_checkup,chair,clara,250,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15604,0,16104,16000,26000,false,true,All cues measured from disk.
mpv2_initial_chair,movement_checkup,chair,marcus,0,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15186,0,15186,16000,26000,true,true,All cues measured from disk.
mpv2_initial_chair,movement_checkup,chair,marcus,100,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15186,0,15386,16000,26000,true,true,All cues measured from disk.
mpv2_initial_chair,movement_checkup,chair,marcus,250,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15186,0,15686,16000,26000,true,true,All cues measured from disk.
mpv2_balance_transition,movement_checkup,balance,clara,0,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10216,0,10216,12000,20000,true,true,All cues measured from disk.
mpv2_balance_transition,movement_checkup,balance,clara,100,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10216,0,10416,12000,20000,true,true,All cues measured from disk.
mpv2_balance_transition,movement_checkup,balance,clara,250,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10216,0,10716,12000,20000,true,true,All cues measured from disk.
mpv2_balance_transition,movement_checkup,balance,marcus,0,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10589,0,10589,12000,20000,true,true,All cues measured from disk.
mpv2_balance_transition,movement_checkup,balance,marcus,100,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10589,0,10789,12000,20000,true,true,All cues measured from disk.
mpv2_balance_transition,movement_checkup,balance,marcus,250,times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21,measured_current_mp3,10589,0,11089,12000,20000,true,true,All cues measured from disk.
balance_v2_stage_setup,balance_v2,stage_setup,clara,0,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,4040,3950,7990,12000,22000,true,true,Pending or mismatched cues use word-count estimates.
balance_v2_stage_setup,balance_v2,stage_setup,clara,100,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,4040,3950,8490,12000,22000,true,true,Pending or mismatched cues use word-count estimates.
balance_v2_stage_setup,balance_v2,stage_setup,clara,250,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,4040,3950,9240,12000,22000,true,true,Pending or mismatched cues use word-count estimates.
balance_v2_stage_setup,balance_v2,stage_setup,marcus,0,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,3668,3950,7618,12000,22000,true,true,Pending or mismatched cues use word-count estimates.
balance_v2_stage_setup,balance_v2,stage_setup,marcus,100,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,3668,3950,8118,12000,22000,true,true,Pending or mismatched cues use word-count estimates.
balance_v2_stage_setup,balance_v2,stage_setup,marcus,250,checkup-balance-feet-together-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,mixed_measured_and_estimated_current_schema,3668,3950,8868,12000,22000,true,true,Pending or mismatched cues use word-count estimates.
shared_countdown_go,shared,countdown,clara,0,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2925,0,2925,5000,9000,true,true,All cues measured from disk.
shared_countdown_go,shared,countdown,clara,100,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2925,0,3225,5000,9000,true,true,All cues measured from disk.
shared_countdown_go,shared,countdown,clara,250,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2925,0,3675,5000,9000,true,true,All cues measured from disk.
shared_countdown_go,shared,countdown,marcus,0,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2693,0,2693,5000,9000,true,true,All cues measured from disk.
shared_countdown_go,shared,countdown,marcus,100,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2693,0,2993,5000,9000,true,true,All cues measured from disk.
shared_countdown_go,shared,countdown,marcus,250,countdown-three;countdown-two;countdown-one;go,measured_current_mp3,2693,0,3443,5000,9000,true,true,All cues measured from disk.
