voiceId,cueKey,path,durationMs,fileSizeBytes,codec,sampleRateHz,channels,inManifest,hasCueDefinition,pairedVoiceAssetExists,pairedDurationDeltaMs,status,notes
clara,ex-squat,assets/audio/voice/clara/ex-squat.mp3,8963,144657,mp3,44100,1,true,true,true,1486,ok,
clara,ex-step-up,assets/audio/voice/clara/ex-step-up.mp3,9195,148001,mp3,44100,1,true,true,true,650,ok,
clara,exercise-skipped,assets/audio/voice/clara/exercise-skipped.mp3,3065,50199,mp3,44100,1,true,true,true,186,ok,
clara,face-forward,assets/audio/voice/clara/face-forward.mp3,2786,45601,mp3,44100,1,true,true,true,-233,ok,
clara,floor_clear_space,assets/audio/voice/clara/floor_clear_space.mp3,3390,55214,mp3,44100,1,true,true,true,46,ok,
clara,floor_slow_transition,assets/audio/voice/clara/floor_slow_transition.mp3,3111,51035,mp3,44100,1,true,true,true,0,ok,
clara,floor_stop_if_transfer_unsteady,assets/audio/voice/clara/floor_stop_if_transfer_unsteady.mp3,4830,78202,mp3,44100,1,true,true,true,418,ok,
clara,floor_use_support_for_transfer,assets/audio/voice/clara/floor_use_support_for_transfer.mp3,3204,52288,mp3,44100,1,true,true,true,139,ok,
clara,framing-ready,assets/audio/voice/clara/framing-ready.mp3,1579,26375,mp3,44100,1,true,true,true,-232,ok,
clara,global_breathe_normally,assets/audio/voice/clara/global_breathe_normally.mp3,2694,44347,mp3,44100,1,true,true,true,326,ok,
clara,global_clear_space,assets/audio/voice/clara/global_clear_space.mp3,2368,38914,mp3,44100,1,true,true,true,-279,ok,
clara,global_pause_if_tracking_lost,assets/audio/voice/clara/global_pause_if_tracking_lost.mp3,4551,74022,mp3,44100,1,true,true,true,371,ok,
clara,global_stop_dizzy_or_lightheaded,assets/audio/voice/clara/global_stop_dizzy_or_lightheaded.mp3,3158,51453,mp3,44100,1,true,true,true,-186,ok,
clara,global_stop_if_support_moves,assets/audio/voice/clara/global_stop_if_support_moves.mp3,3762,61066,mp3,44100,1,true,true,true,-93,ok,
clara,global_stop_sharp_or_increasing_pain,assets/audio/voice/clara/global_stop_sharp_or_increasing_pain.mp3,3251,53124,mp3,44100,1,true,true,true,0,ok,
clara,go,assets/audio/voice/clara/go.mp3,604,10911,mp3,44100,1,true,true,true,0,ok,
clara,hinge-intro,assets/audio/voice/clara/hinge-intro.mp3,6594,106623,mp3,44100,1,true,true,true,-418,ok,
clara,hinge-setup,assets/audio/voice/clara/hinge-setup.mp3,7198,116236,mp3,44100,1,true,true,true,-140,ok,
clara,hold-still,assets/audio/voice/clara/hold-still.mp3,1950,32226,mp3,44100,1,true,true,true,-47,ok,
clara,item-complete,assets/audio/voice/clara/item-complete.mp3,1022,17598,mp3,44100,1,true,true,true,93,ok,
clara,last-set,assets/audio/voice/clara/last-set.mp3,1765,29301,mp3,44100,1,true,true,true,47,ok,
clara,microcheck-balance,assets/audio/voice/clara/microcheck-balance.mp3,5619,91159,mp3,44100,1,true,true,true,371,ok,
clara,microcheck-chair,assets/audio/voice/clara/microcheck-chair.mp3,7895,127521,mp3,44100,1,true,true,true,-418,ok,
clara,microcheck-complete,assets/audio/voice/clara/microcheck-complete.mp3,2368,38914,mp3,44100,1,true,true,true,-47,ok,
clara,microcheck-intro,assets/audio/voice/clara/microcheck-intro.mp3,3576,58140,mp3,44100,1,true,true,true,650,ok,
clara,mobility_no_forcing,assets/audio/voice/clara/mobility_no_forcing.mp3,2972,48527,mp3,44100,1,true,true,true,-139,ok,
clara,next-exercise,assets/audio/voice/clara/next-exercise.mp3,2461,40586,mp3,44100,1,true,true,true,325,ok,
clara,next-up,assets/audio/voice/clara/next-up.mp3,1765,29301,mp3,44100,1,true,true,true,140,ok,
clara,no-reps,assets/audio/voice/clara/no-reps.mp3,5016,81128,mp3,44100,1,true,true,true,326,ok,
clara,num-0,assets/audio/voice/clara/num-0.mp3,743,13000,mp3,44100,1,true,true,true,93,ok,
clara,num-1,assets/audio/voice/clara/num-1.mp3,557,10075,mp3,44100,1,true,true,true,46,ok,
clara,num-10,assets/audio/voice/clara/num-10.mp3,697,12164,mp3,44100,1,true,true,true,93,ok,
clara,num-11,assets/audio/voice/clara/num-11.mp3,697,12164,mp3,44100,1,true,true,true,0,ok,
clara,num-12,assets/audio/voice/clara/num-12.mp3,743,13000,mp3,44100,1,true,true,true,0,ok,
clara,num-13,assets/audio/voice/clara/num-13.mp3,789,13836,mp3,44100,1,true,true,true,0,ok,
clara,num-14,assets/audio/voice/clara/num-14.mp3,789,13836,mp3,44100,1,true,true,true,46,ok,
clara,num-15,assets/audio/voice/clara/num-15.mp3,836,14254,mp3,44100,1,true,true,true,139,ok,
clara,num-16,assets/audio/voice/clara/num-16.mp3,789,13836,mp3,44100,1,true,true,true,0,ok,
clara,num-17,assets/audio/voice/clara/num-17.mp3,929,15926,mp3,44100,1,true,true,true,47,ok,
clara,num-18,assets/audio/voice/clara/num-18.mp3,836,14254,mp3,44100,1,true,true,true,139,ok,
clara,num-19,assets/audio/voice/clara/num-19.mp3,836,14254,mp3,44100,1,true,true,true,0,ok,
clara,num-2,assets/audio/voice/clara/num-2.mp3,650,11328,mp3,44100,1,true,true,true,0,ok,
clara,num-20,assets/audio/voice/clara/num-20.mp3,789,13836,mp3,44100,1,true,true,true,46,ok,
clara,num-21,assets/audio/voice/clara/num-21.mp3,836,14254,mp3,44100,1,true,true,true,0,ok,
clara,num-22,assets/audio/voice/clara/num-22.mp3,836,14254,mp3,44100,1,true,true,true,47,ok,
clara,num-23,assets/audio/voice/clara/num-23.mp3,975,16762,mp3,44100,1,true,true,true,46,ok,
clara,num-24,assets/audio/voice/clara/num-24.mp3,929,15926,mp3,44100,1,true,true,true,93,ok,
clara,num-25,assets/audio/voice/clara/num-25.mp3,975,16762,mp3,44100,1,true,true,true,46,ok,
clara,num-26,assets/audio/voice/clara/num-26.mp3,929,15926,mp3,44100,1,true,true,true,-46,ok,
clara,num-27,assets/audio/voice/clara/num-27.mp3,929,15926,mp3,44100,1,true,true,true,0,ok,
clara,num-28,assets/audio/voice/clara/num-28.mp3,975,16762,mp3,44100,1,true,true,true,139,ok,
