voiceId,cueKey,path,sha256,durationMs,codec,container,sampleRateHz,channels,bitRate,lufsI,loudnessRange,truePeakDbfs,leadingSilenceMs,trailingSilenceMs,decodeStatus,clippingFlag,baselineDurationPercentile,pairedDurationDeltaMs,outlierFlags,notes
"marcus","checkup-shoulder-raise-right-v21","assets/audio/voice/marcus/checkup-shoulder-raise-right-v21.mp3","bec3f3d0e51639784eb9f676e40c7759d71fc0a4da55fe2796ef17fe85fe276f","3994","mp3","mp3","44100","1","128000","-15.8","4.1","-0.9","","209","ok","false","75.3","-882","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","checkup-shoulder-turn-left-v21","assets/audio/voice/clara/checkup-shoulder-turn-left-v21.mp3","bdb9efaa37c0eb29c65635152cf3ad07e46f7b06f7c35b8481a2f730d30254be","2229","mp3","mp3","44100","1","128000","-21.8","0.0","-5.7","52","235","ok","false","42","-186","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","checkup-shoulder-turn-left-v21","assets/audio/voice/marcus/checkup-shoulder-turn-left-v21.mp3","248cdc7603a6dab412048ca5352bef3bd129b53098df8cba009dc1b44f7deff2","2415","mp3","mp3","44100","1","128000","-16.6","0.0","-1.4","59","224","ok","false","48.7","186","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","checkup-shoulder-turn-right-v21","assets/audio/voice/clara/checkup-shoulder-turn-right-v21.mp3","67cd18e603c1af00b22885ce7bfe4ee29fc83e58b209bb766316ecfe1d008ef0","2322","mp3","mp3","44100","1","128000","-21.8","0.0","-5.6","","245","ok","false","44","93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","checkup-shoulder-turn-right-v21","assets/audio/voice/marcus/checkup-shoulder-turn-right-v21.mp3","85174dd789c0b74cf10c8ec05ceb0cbdf857c293cc0faa78c9277f76c81cd243","2229","mp3","mp3","44100","1","128000","-14.2","0.0","-1.0","62","219","ok","false","45.3","-93","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","final-position-set-v21","assets/audio/voice/clara/final-position-set-v21.mp3","e9a54f399941ab4c8cc5f21a31d6f19ce6d16a6e7080fc3a01fee3e8c3cca24a","929","mp3","mp3","44100","1","128000","-20.9","0.0","-6.3","52","223","ok","false","27.3","-46","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","final-position-set-v21","assets/audio/voice/marcus/final-position-set-v21.mp3","aee3e31392e3c55237ae9bb00c02fa0880746576ed557ad93d802ba1a95c73b0","975","mp3","mp3","44100","1","128000","-15.2","0.0","-1.8","62","258","ok","false","31.3","46","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","item-complete-v21","assets/audio/voice/clara/item-complete-v21.mp3","f855ad6ed662d49996a55ecc1431834bcf9258e90c57d4a33f73b352c87540ad","929","mp3","mp3","44100","1","128000","-23.4","0.0","-8.3","75","209","ok","false","27.3","140","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","item-complete-v21","assets/audio/voice/marcus/item-complete-v21.mp3","2c0507a3a6b9d4e920eb5e25779a3124de31122bc1377b1d10ae7052737b2bab","789","mp3","mp3","44100","1","128000","-22.8","0.0","-7.3","52","185","ok","false","18.7","-140","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_balance_attempt_saved","assets/audio/voice/clara/mpv2_balance_attempt_saved.mp3","6d68a030f49573659d661de21636d3d63f8676e1dd387b1fca6051e2408f341c","1393","mp3","mp3","44100","1","128000","-22.0","0.0","-3.7","","189","ok","false","32","-93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_balance_attempt_saved","assets/audio/voice/marcus/mpv2_balance_attempt_saved.mp3","4ac8ba5bb3834ae0b45c988c4b2301a4f9d65b2a26e129de6ef92357769d6dd8","1486","mp3","mp3","44100","1","128000","-14.9","0.0","-0.8","63","197","ok","false","34.7","93","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_balance_attempt_start","assets/audio/voice/clara/mpv2_balance_attempt_start.mp3","d7b7090fe8708582181950c5a778c2a476ad99fcb59249885dfa1d875798f14c","4737","mp3","mp3","44100","1","128000","-23.0","3.4","-5.1","","258","ok","false","80","325","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
